idno,ppltrst,happy,cgtsday,alcfreq,height,weight,gndr,yrbrn
926050,7,9,10.0,2-3 times a month,166.0,58.0,Female,1974.0
926092,7,9,15.0,2-3 times a month,173.0,115.0,Female,1975.0
926107,5,8,,Less than once a month,187.0,84.0,Male,1999.0
926115,9,9,,2-3 times a month,170.0,58.0,Female,1961.0
926131,8,9,,Less than once a month,176.0,79.0,Female,1982.0
926149,Most people can be trusted,5,,Several times a week,198.0,105.0,Male,1956.0
926181,5,8,,Every day,183.0,66.0,Male,1962.0
926199,5,7,,Once a month,175.0,66.1,Female,1979.0
926238,4,9,10.0,2-3 times a month,169.0,56.0,Female,1969.0
926246,5,5,,Never,150.0,53.0,Female,1969.0
926288,Most people can be trusted,9,,2-3 times a month,160.0,59.0,Female,1951.0
926319,7,8,13.0,Never,172.0,62.0,Male,1957.0
926343,2,Extremely happy,,Several times a week,189.0,80.0,Male,1987.0
926351,8,9,,Once a week,170.0,60.0,Female,1973.0
926377,5,8,20.0,Once a week,176.0,82.0,Male,1951.0
926385,8,8,,Once a week,176.0,73.0,Male,1943.0
926408,7,8,,Once a week,172.0,76.0,Male,1945.0
926458,8,7,15.0,Once a week,172.0,77.0,Male,1986.0
926513,7,9,,Once a week,159.0,72.0,Female,1948.0
926539,7,8,0.0,Once a week,165.0,59.0,Female,1994.0
926555,6,8,,Less than once a month,183.0,75.0,Male,1995.0
926563,7,8,,Never,195.0,66.0,Male,1997.0
926589,9,Extremely happy,,Several times a week,172.0,68.0,Male,1965.0
926597,6,7,,Less than once a month,173.0,68.0,Female,1978.0
926652,3,7,,2-3 times a month,172.0,62.0,Female,1990.0
926660,3,5,,Once a week,186.0,66.0,Male,1965.0
926678,9,9,,Less than once a month,180.0,85.0,Male,1941.0
926694,8,Extremely happy,,Every day,177.0,78.0,Male,1939.0
926709,3,9,,2-3 times a month,179.0,,Female,1981.0
926725,5,Extremely happy,,Once a week,168.0,70.0,Male,1971.0
926733,7,8,,Less than once a month,163.0,85.0,Female,1968.0
926759,4,7,,Never,168.0,66.0,Female,1953.0
926767,8,8,,2-3 times a month,173.0,65.0,Female,1953.0
926775,8,8,20.0,Several times a week,189.0,75.0,Male,1989.0
926806,6,Extremely happy,,Several times a week,172.0,64.0,Female,1979.0
926814,4,1,,Once a week,162.0,80.0,Female,1977.0
926822,8,Extremely happy,,Several times a week,175.0,69.0,Male,1937.0
926848,8,9,15.0,Once a month,178.0,76.0,Male,1996.0
926872,8,Extremely happy,,Once a week,155.0,58.0,Female,1973.0
926880,7,8,,Once a week,161.0,62.0,Female,1969.0
926898,5,6,,Once a week,182.0,112.0,Male,1968.0
926903,9,9,,Every day,162.0,62.0,Female,1940.0
926911,8,8,,2-3 times a month,184.0,79.0,Male,1960.0
926929,5,2,15.0,Every day,169.0,57.0,Female,1957.0
926937,7,Extremely happy,,Every day,168.0,74.0,Female,1942.0
926945,7,9,,Once a week,176.0,56.0,Female,1971.0
926953,Most people can be trusted,8,,Once a month,184.0,73.0,Male,1940.0
926961,7,7,,Once a week,172.0,51.0,Female,1998.0
926979,7,9,,Once a week,183.0,84.0,Male,1992.0
926987,8,9,,Several times a week,162.0,64.0,Female,1950.0
926995,8,7,10.0,Once a week,178.0,95.0,Male,1986.0
927006,7,6,,Less than once a month,167.0,72.0,Female,1967.0
927048,7,Extremely happy,,Less than once a month,160.0,75.0,Female,1985.0
927072,8,7,,Several times a week,192.0,83.0,Male,1964.0
927098,9,8,,Several times a week,165.0,55.0,Female,1954.0
927111,4,4,,Less than once a month,159.0,93.0,Female,1966.0
927137,Most people can be trusted,Extremely happy,18.0,2-3 times a month,175.0,90.0,Male,1955.0
927179,5,5,,2-3 times a month,169.0,43.0,Female,1954.0
927187,3,9,,Every day,162.0,65.0,Male,1927.0
927226,8,Extremely happy,,Less than once a month,182.0,87.0,Male,1974.0
927250,8,9,,Several times a week,169.0,65.0,Female,1977.0
927276,8,Extremely happy,,Several times a week,184.0,90.0,Male,1953.0
927284,Most people can be trusted,8,,Less than once a month,155.0,60.0,Female,1922.0
927307,7,8,7.0,Once a week,161.0,63.0,Female,1995.0
927323,8,Extremely happy,,Once a week,172.0,87.0,Female,1967.0
927331,5,Extremely happy,,Never,181.0,,Female,1981.0
927349,5,8,10.0,Once a week,188.0,79.0,Male,1974.0
927373,8,9,,Less than once a month,172.0,72.0,Male,1987.0
927381,7,8,,Every day,173.0,82.0,Male,1995.0
927399,2,7,25.0,Once a week,180.0,83.0,Male,1981.0
927462,Most people can be trusted,Extremely happy,10.0,Less than once a month,172.0,68.0,Male,1959.0
927488,4,9,15.0,Less than once a month,168.0,74.0,Male,1981.0
927585,7,9,,Once a month,175.0,84.0,Female,1986.0
927593,4,Extremely happy,,Once a week,170.0,84.0,Male,1967.0
927608,5,8,,2-3 times a month,165.0,66.0,Female,1979.0
927616,Most people can be trusted,9,,2-3 times a month,188.0,101.0,Male,1941.0
927624,8,8,,Once a week,160.0,69.0,Female,1961.0
927632,5,9,,Never,158.0,64.0,Female,1976.0
927640,8,8,,Once a week,180.0,87.0,Female,1988.0
927739,7,Extremely happy,,Several times a week,180.0,89.0,Male,1976.0
927763,5,7,,Less than once a month,185.0,97.0,Male,1938.0
927771,8,Extremely happy,,Once a month,181.0,63.0,Female,1984.0
927828,8,9,,2-3 times a month,164.0,63.0,Female,1972.0
927836,8,9,,Several times a week,172.0,63.0,Male,1967.0
927860,Most people can be trusted,9,,Several times a week,169.0,62.0,Female,1955.0
927894,8,8,12.0,2-3 times a month,193.0,83.0,Male,1967.0
927933,6,8,,Once a week,159.0,51.0,Female,1990.0
927959,8,9,,Every day,157.0,61.0,Female,1964.0
927967,8,8,0.0,Several times a week,175.0,82.0,Male,1967.0
927983,3,8,20.0,Once a month,164.0,54.0,Female,1989.0
928002,8,8,,Several times a week,146.0,48.0,Female,1935.0
928028,8,6,10.0,Several times a week,181.0,75.0,Male,1986.0
928044,7,2,,Every day,170.0,59.0,Male,1937.0
928060,8,8,12.0,Never,168.0,95.0,Male,1985.0
928086,8,Extremely happy,,Several times a week,176.0,65.0,Female,1949.0
928094,4,8,,Never,162.0,52.0,Female,1998.0
928109,8,7,,Once a week,168.0,67.0,Female,1964.0
928125,3,8,,2-3 times a month,183.0,87.0,Male,1968.0
928133,7,6,,Less than once a month,183.0,82.0,Male,1993.0
928167,8,7,,2-3 times a month,183.0,120.0,Male,1956.0
928175,5,Extremely happy,,Several times a week,162.0,52.0,Female,1955.0
928248,8,9,,2-3 times a month,168.0,69.0,Female,1983.0
928256,6,8,,Once a week,173.0,75.0,Male,1974.0
928280,You can't be too careful,9,20.0,Never,148.0,65.0,Female,1953.0
928298,5,Extremely happy,,Less than once a month,163.0,,Female,1952.0
928303,5,9,,Several times a week,178.0,73.0,Male,1969.0
928311,9,6,,Less than once a month,194.0,94.0,Male,1973.0
928345,6,7,7.0,Several times a week,177.0,84.0,Male,1967.0
928361,9,8,,Once a week,166.0,59.0,Female,1955.0
928379,8,8,,Once a month,171.0,58.0,Female,1998.0
928400,8,8,,Once a week,167.0,61.0,Female,1969.0
928418,7,6,,Several times a week,187.0,80.0,Male,1997.0
928434,8,6,,2-3 times a month,164.0,64.0,Female,1960.0
928476,6,9,,2-3 times a month,180.0,79.0,Male,1964.0
928492,5,6,20.0,Once a week,162.0,80.0,Female,1968.0
928515,7,8,,Several times a week,178.0,89.0,Male,1939.0
928565,4,Extremely happy,,2-3 times a month,178.0,88.0,Male,1982.0
928573,8,8,,Never,168.0,68.0,Female,1936.0
928604,8,Extremely happy,2.0,Once a month,151.0,,Female,1940.0
928646,7,6,,Once a month,161.0,70.0,Female,1959.0
928662,8,Extremely happy,,Once a week,176.0,68.0,Female,1973.0
928670,7,Extremely happy,,Several times a week,183.0,81.0,Male,1964.0
928701,9,8,,Once a week,183.0,82.0,Male,1989.0
928727,6,Extremely happy,,2-3 times a month,187.0,68.0,Male,1998.0
928735,8,Extremely happy,,Once a week,165.0,76.0,Female,1943.0
928769,6,8,,Never,155.0,70.0,Female,1981.0
928777,8,8,20.0,2-3 times a month,189.0,71.0,Male,1972.0
928785,8,9,20.0,Once a week,183.0,125.0,Male,1967.0
928808,8,7,,Once a week,182.0,81.0,Male,1988.0
928816,7,9,,2-3 times a month,196.0,105.0,Male,1973.0
928824,7,Extremely happy,,2-3 times a month,163.0,56.0,Female,1981.0
928832,6,6,,2-3 times a month,174.0,85.0,Male,1963.0
928840,3,5,,Less than once a month,187.0,98.0,Male,1998.0
928858,7,9,,2-3 times a month,185.0,80.0,Male,1998.0
928874,7,7,,Less than once a month,187.0,64.0,Male,1999.0
928905,6,8,20.0,Once a week,173.0,68.0,Male,1952.0
928913,8,Extremely happy,,Every day,163.0,71.0,Female,1936.0
928947,5,Extremely happy,20.0,Every day,167.0,75.0,Male,1950.0
928955,9,Extremely happy,,Once a month,176.0,66.0,Male,1944.0
928971,8,Extremely happy,,Once a week,168.0,54.0,Female,1946.0
928997,5,8,25.0,Several times a week,175.0,67.0,Female,1988.0
929032,7,8,,Once a week,164.0,63.0,Female,1951.0
929040,4,9,15.0,Once a week,182.0,76.0,Male,1993.0
929082,8,Extremely happy,,Several times a week,187.0,120.0,Male,1963.0
929090,8,9,,Once a month,184.0,89.0,Male,1965.0
929105,5,7,,2-3 times a month,158.0,68.0,Female,1981.0
929121,6,Extremely happy,,Every day,164.0,73.0,Male,1941.0
929139,7,9,,Once a month,186.0,107.0,Male,1955.0
929147,7,9,,Less than once a month,173.0,83.0,Male,1938.0
929163,5,7,10.0,Once a week,167.0,56.0,Female,1941.0
929171,You can't be too careful,Extremely happy,,2-3 times a month,173.0,88.0,Male,1937.0
929189,8,Extremely happy,,Less than once a month,178.0,86.0,Male,1963.0
929197,9,Extremely happy,10.0,Several times a week,182.0,90.0,Male,1962.0
